Transects,Tr_id,Model,mean,sd,l25,u95
T1,1,MHDS,0.00081823,6.188227831,-16.11460942,7.364543897
T1,1,HDS,-0.068668936,7.983847224,-20.26781793,9.609907018
T2,2,MHDS,0.016990256,3.74582104,-9.875622459,4.309790419
T2,2,HDS,-0.004560144,3.725611973,-9.600170669,4.427723224
T3,3,MHDS,0.016988178,3.765965693,-9.568031421,4.352921143
T3,3,HDS,0.061040214,3.679596691,-9.31470659,4.483512301
T4,4,MHDS,0.023984524,1.774745141,-4.503754433,2.269985259
T4,4,HDS,-0.013528008,1.120235429,-2.947535068,1.387115548
T5,5,MHDS,-0.004091095,5.165569241,-13.62707128,6.06214317
T5,5,HDS,-0.011379818,6.198366038,-15.75507209,7.59948238
T6,6,MHDS,0.028567205,4.958939762,-12.44043184,5.786296727
T6,6,HDS,0.029525338,5.685338531,-14.42703917,6.999694431
T7,7,MHDS,-0.027304694,3.458672865,-8.928955575,3.876945398
T7,7,HDS,0.025295857,3.389858746,-8.786797048,3.949723961
T8,8,MHDS,0.028011258,2.824155015,-7.414861139,3.311189832
T8,8,HDS,-0.01649881,2.374444439,-6.215467665,2.912781844
T9,9,MHDS,0.022262509,2.022880467,-5.200383596,2.509680549
T9,9,HDS,-0.015520374,1.531791638,-3.96073299,1.907051584
T10,10,MHDS,-0.007923346,2.005722299,-5.272927947,2.573918999
T10,10,HDS,-0.007463672,1.289074731,-3.285503134,1.632415494
T11,11,MHDS,0.021237693,6.467735127,-16.76678941,7.58341695
T11,11,HDS,0.008960599,8.668065429,-22.54321756,10.76650241
T12,12,MHDS,0.046373577,3.723862981,-9.656928153,4.29118322
T12,12,HDS,0.056703423,3.798256411,-9.736543834,4.607920314
T13,13,MHDS,0.034562906,4.931599596,-13.01709042,5.850642696
T13,13,HDS,-0.002019985,6.038834258,-15.68459958,7.147586519
T14,14,MHDS,-0.004819307,3.434022113,-8.833582256,3.931888194
T14,14,HDS,0.024426384,3.179552641,-8.080701813,3.834121822
T15,15,MHDS,-0.000931609,4.447846894,-11.65648278,5.13839613
T15,15,HDS,-0.069788108,4.992076467,-13.02141886,5.892261724
T16,16,MHDS,0.036627864,3.687252715,-9.604940267,4.277001667
T16,16,HDS,0.013530543,3.745592868,-9.608732503,4.542370783
T17,17,MHDS,0.018180783,4.411482035,-11.4033598,5.224496091
T17,17,HDS,-0.031418555,4.87108549,-12.44917499,5.921772185
T18,18,MHDS,0.002274092,4.500916959,-11.89654128,5.160977768
T18,18,HDS,0.009585915,5.030157479,-12.92292693,6.018616145
T19,19,MHDS,-0.004624265,5.778645881,-15.10126693,6.739999538
T19,19,HDS,-0.087145725,7.164688972,-18.39528726,8.61248045
T20,20,MHDS,0.003126972,5.542240195,-14.36177201,6.472613451
T20,20,HDS,-0.047221887,6.789135426,-17.9157092,8.205068837
T21,21,MHDS,0.023110969,4.983875108,-12.73244007,5.890688931
T21,21,HDS,-0.116933009,6.206873873,-15.81369425,7.341074875
T22,22,MHDS,0.013736472,3.189528884,-8.147819426,3.695203834
T22,22,HDS,0.041008253,2.835970356,-7.319124262,3.43553494
T23,23,MHDS,-0.023504372,3.33716271,-8.570538142,3.877065804
T23,23,HDS,0.002701575,3.184366447,-8.311378728,3.790336841
T24,24,MHDS,0.09835002,5.584510788,-14.33896316,6.657084548
T24,24,HDS,-0.053243113,7.20559861,-18.788518,8.682055688
T25,25,MHDS,-0.045448876,3.912084892,-10.09475524,4.406782128
T25,25,HDS,0.055454444,3.804070559,-9.868584165,4.60859713
T26,26,MHDS,0.020616852,2.933203324,-7.691254849,3.433364822
T26,26,HDS,0.009198348,2.580689914,-6.678983798,3.101332323
T27,27,MHDS,-0.039461035,2.914598263,-7.587264316,3.321934962
T27,27,HDS,0.058518888,2.332300171,-5.995093567,2.886309781
T28,28,MHDS,-0.024196876,2.861481582,-7.372226868,3.32896298
T28,28,HDS,0.041501037,2.539724641,-6.38372879,3.040393575
T29,29,MHDS,-0.030239124,3.907173275,-10.21635347,4.410961818
T29,29,HDS,0.006871949,3.821976009,-9.887797866,4.562697362
T30,30,MHDS,0.050390111,6.04214571,-15.86212114,7.187377713
T30,30,HDS,-0.011163426,7.783829614,-19.92206402,9.645685777
T31,31,MHDS,-0.127298075,8.670419916,-22.46630427,10.2816114
T31,31,HDS,-0.043907665,12.17669314,-31.40838032,15.4060039
T32,32,MHDS,-0.024009856,6.101785248,-15.83185351,7.070765732
T32,32,HDS,0.009704544,7.593928601,-19.26417857,9.513443152
T33,33,MHDS,-0.002124865,2.809914091,-7.413288334,3.237579085
T33,33,HDS,0.005308181,2.435542614,-6.190273927,2.902571152
T34,34,MHDS,0.027662419,2.564784627,-6.642433106,3.029970009
T34,34,HDS,-0.012359566,2.120649507,-5.521944555,2.57274227
T35,35,MHDS,0.017355905,3.155224963,-8.282161247,3.568500453
T35,35,HDS,0.006619328,2.798430801,-7.130777948,3.401118312
T36,36,MHDS,-0.068016502,6.839538622,-17.87010125,8.113480425
T36,36,HDS,0.057633449,9.175909321,-23.60601132,11.521238
T37,37,MHDS,0.104031247,28.64921389,-73.72827062,38.34264671
T37,37,HDS,-0.178225521,17.0156748,-43.11109098,22.80007945
T38,38,MHDS,0.147724099,20.01205575,-50.88542028,24.83119625
T38,38,HDS,0.054912151,17.08253423,-43.55484437,22.30482743
T39,39,MHDS,-0.107831763,8.561731479,-21.94075061,10.30541634
T39,39,HDS,0.012836964,12.42712496,-31.78129392,16.0147882
T40,40,MHDS,-0.113512123,21.20523043,-54.95353594,25.70373689
T40,40,HDS,-0.224467865,20.60161234,-53.95308034,25.99182531
T41,41,MHDS,0.018270013,30.08427102,-75.98725028,40.43332121
T41,41,HDS,0.140500637,14.53148519,-36.11939606,20.93448739
T42,42,MHDS,0.109637514,34.25516147,-84.11298892,47.18142455
T42,42,HDS,-0.049297919,17.48642213,-40.45469169,24.98938826
T43,43,MHDS,-0.138634373,16.44279039,-42.60261735,19.82400469
T43,43,HDS,0.011283809,18.86983671,-49.36019719,24.87746132
T44,44,MHDS,0.086568862,23.68753428,-60.6490058,29.82570654
T44,44,HDS,-0.185258764,14.88440849,-38.17238361,19.6419909
T45,45,MHDS,-1.087220486,35.06955774,-91.13636458,47.09412121
T45,45,HDS,-0.068636436,18.49850109,-43.69693765,25.52782466
T46,46,MHDS,0.018129022,27.94835029,-74.35698933,35.45943831
T46,46,HDS,-0.039065446,17.19033123,-44.22537521,22.76317549
